"region","sexo","edad","educ","ingreso","univ","genero"
2,2,6,1,NA,NA,"Mujer"
13,2,28,6,NA,0,"Mujer"
4,2,56,3,NA,0,"Mujer"
5,2,47,6,180000,0,"Mujer"
13,2,69,1,145000,0,"Mujer"
8,1,11,1,NA,NA,"Hombre"
9,1,81,6,325000,0,"Hombre"
10,2,0,0,NA,NA,"Mujer"
13,2,59,8,500000,0,"Mujer"
13,1,53,5,650000,0,"Hombre"
4,2,28,8,330000,0,"Mujer"
9,2,30,11,652533,1,"Mujer"
9,1,16,4,NA,NA,"Hombre"
9,2,36,5,95000,0,"Mujer"
13,1,27,5,500000,NA,"Hombre"
15,2,24,7,60000,NA,"Mujer"
5,2,43,5,2083,0,"Mujer"
13,2,17,3,NA,NA,"Mujer"
10,1,57,1,270000,0,"Hombre"
16,1,70,1,192461,0,"Hombre"
7,1,42,5,264915,0,"Hombre"
14,2,21,9,NA,NA,"Mujer"
13,1,35,6,1116667,0,"Hombre"
11,1,2,0,NA,NA,"Hombre"
14,1,10,1,NA,NA,"Hombre"
14,2,86,11,450000,1,"Mujer"
1,2,36,1,265000,0,"Mujer"
2,2,27,3,NA,NA,"Mujer"
7,2,20,9,NA,NA,"Mujer"
8,2,72,7,245874,0,"Mujer"
8,2,28,5,350000,0,"Mujer"
9,1,30,3,303333,0,"Hombre"
9,2,35,5,326000,0,"Mujer"
6,1,48,1,350000,0,"Hombre"
4,2,9,1,NA,NA,"Mujer"
13,2,64,4,NA,0,"Mujer"
9,2,1,0,NA,NA,"Mujer"
6,2,42,5,NA,0,"Mujer"
1,1,24,4,300000,NA,"Hombre"
9,1,33,5,500000,0,"Hombre"
15,2,27,6,NA,NA,"Mujer"
6,2,9,1,35000,NA,"Mujer"
6,1,29,11,608333,1,"Hombre"
13,1,24,9,400000,NA,"Hombre"
16,1,77,3,NA,0,"Hombre"
4,1,8,1,NA,NA,"Hombre"
12,1,28,5,400000,0,"Hombre"
10,1,37,11,1287500,1,"Hombre"
13,2,62,4,62000,0,"Mujer"
3,1,55,1,350000,0,"Hombre"
8,1,61,7,936667,0,"Hombre"
6,1,45,3,350000,0,"Hombre"
13,1,44,3,270000,0,"Hombre"
5,2,32,99,280000,NA,"Mujer"
5,2,47,6,NA,0,"Mujer"
14,1,38,5,400000,0,"Hombre"
14,1,62,5,402500,0,"Hombre"
1,2,21,9,NA,NA,"Mujer"
4,2,36,6,200000,0,"Mujer"
16,2,4,0,NA,NA,"Mujer"
4,1,47,7,1100000,0,"Hombre"
1,2,19,7,NA,NA,"Mujer"
10,1,5,0,NA,NA,"Hombre"
6,2,19,7,NA,NA,"Mujer"
5,1,21,7,170000,NA,"Hombre"
12,1,17,3,NA,NA,"Hombre"
7,2,21,7,NA,NA,"Mujer"
3,1,76,0,NA,0,"Hombre"
13,2,17,3,NA,NA,"Mujer"
4,1,32,2,227273,0,"Hombre"
13,2,52,11,510000,1,"Mujer"
7,2,59,5,230000,0,"Mujer"
11,1,37,11,2510000,1,"Hombre"
7,2,40,6,240000,0,"Mujer"
13,1,26,5,360000,NA,"Hombre"
8,1,37,5,NA,0,"Hombre"
13,2,28,9,NA,0,"Mujer"
5,2,16,3,NA,NA,"Mujer"
3,1,20,9,NA,NA,"Hombre"
7,1,33,3,280000,0,"Hombre"
8,2,2,0,NA,NA,"Mujer"
7,1,40,11,864167,1,"Hombre"
6,2,69,0,103000,0,"Mujer"
8,2,70,1,200000,0,"Mujer"
13,1,30,5,566000,0,"Hombre"
15,1,16,4,NA,NA,"Hombre"
11,1,36,11,2302500,1,"Hombre"
13,2,61,5,110667,0,"Mujer"
13,2,55,10,300417,0,"Mujer"
10,2,36,5,130000,0,"Mujer"
11,1,7,1,NA,NA,"Hombre"
15,1,80,0,NA,0,"Hombre"
11,2,16,3,NA,NA,"Mujer"
16,2,18,5,NA,NA,"Mujer"
3,1,12,1,NA,NA,"Hombre"
6,2,45,5,600000,0,"Mujer"
6,1,53,3,320000,0,"Hombre"
13,1,73,7,6504167,0,"Hombre"
16,1,84,1,NA,0,"Hombre"
14,1,53,5,NA,0,"Hombre"
6,2,21,7,NA,NA,"Mujer"
12,1,38,11,1204833,1,"Hombre"
7,1,5,0,NA,NA,"Hombre"
5,2,50,5,NA,0,"Mujer"
13,2,58,5,NA,0,"Mujer"
8,2,4,0,NA,NA,"Mujer"
13,2,24,11,600000,1,"Mujer"
9,1,27,2,276000,NA,"Hombre"
16,1,22,3,200000,NA,"Hombre"
5,2,85,1,250000,0,"Mujer"
8,2,53,2,NA,0,"Mujer"
2,2,58,5,500000,0,"Mujer"
13,2,11,0,NA,NA,"Mujer"
5,2,60,7,96000,0,"Mujer"
6,2,45,5,276000,0,"Mujer"
13,2,9,1,NA,NA,"Mujer"
10,2,15,4,NA,NA,"Mujer"
8,2,50,1,NA,0,"Mujer"
8,2,39,3,235000,0,"Mujer"
2,1,54,6,1700000,0,"Hombre"
13,1,53,11,1666667,1,"Hombre"
16,1,78,0,NA,0,"Hombre"
6,1,29,2,400000,0,"Hombre"
10,1,20,7,135000,NA,"Hombre"
13,1,97,11,1233333,1,"Hombre"
13,2,74,2,300000,0,"Mujer"
11,1,46,11,2500000,1,"Hombre"
6,1,10,1,NA,NA,"Hombre"
2,1,3,0,NA,NA,"Hombre"
2,2,18,5,NA,NA,"Mujer"
13,2,43,5,329667,0,"Mujer"
13,1,24,1,300000,NA,"Hombre"
1,1,23,9,350000,NA,"Hombre"
8,2,6,1,NA,NA,"Mujer"
8,1,45,8,NA,0,"Hombre"
6,2,42,8,NA,0,"Mujer"
12,2,53,5,450000,0,"Mujer"
8,2,56,3,260000,0,"Mujer"
7,1,50,1,NA,0,"Hombre"
8,1,7,1,NA,NA,"Hombre"
15,1,23,9,NA,NA,"Hombre"
15,1,3,0,NA,NA,"Hombre"
2,2,15,3,NA,NA,"Mujer"
15,2,52,3,30000,0,"Mujer"
9,2,9,1,NA,NA,"Mujer"
10,1,50,3,220000,0,"Hombre"
13,1,4,0,NA,NA,"Hombre"
4,2,18,3,NA,NA,"Mujer"
9,1,29,9,30000,0,"Hombre"
15,2,15,2,NA,NA,"Mujer"
7,2,19,1,NA,NA,"Mujer"
2,2,69,8,100000,0,"Mujer"
5,2,57,5,NA,0,"Mujer"
3,2,77,3,NA,0,"Mujer"
3,1,38,5,1200000,0,"Hombre"
6,2,20,5,NA,NA,"Mujer"
