"region","sexo","edad","educ","ingreso","univ"
2,2,6,1,NA,NA
13,2,28,6,NA,0
4,2,56,3,NA,0
5,2,47,6,180000,0
13,2,69,1,145000,0
10,2,0,0,NA,NA
13,2,59,8,500000,0
4,2,28,8,330000,0
9,2,30,11,652533,1
9,2,36,5,95000,0
15,2,24,7,60000,NA
5,2,43,5,2083,0
13,2,17,3,NA,NA
14,2,21,9,NA,NA
14,2,86,11,450000,1
1,2,36,1,265000,0
2,2,27,3,NA,NA
7,2,20,9,NA,NA
8,2,72,7,245874,0
8,2,28,5,350000,0
9,2,35,5,326000,0
4,2,9,1,NA,NA
13,2,64,4,NA,0
9,2,1,0,NA,NA
6,2,42,5,NA,0
15,2,27,6,NA,NA
6,2,9,1,35000,NA
13,2,62,4,62000,0
5,2,32,99,280000,NA
5,2,47,6,NA,0
1,2,21,9,NA,NA
4,2,36,6,200000,0
16,2,4,0,NA,NA
1,2,19,7,NA,NA
6,2,19,7,NA,NA
7,2,21,7,NA,NA
13,2,17,3,NA,NA
13,2,52,11,510000,1
7,2,59,5,230000,0
7,2,40,6,240000,0
13,2,28,9,NA,0
5,2,16,3,NA,NA
8,2,2,0,NA,NA
6,2,69,0,103000,0
8,2,70,1,200000,0
13,2,61,5,110667,0
13,2,55,10,300417,0
10,2,36,5,130000,0
11,2,16,3,NA,NA
16,2,18,5,NA,NA
6,2,45,5,600000,0
6,2,21,7,NA,NA
5,2,50,5,NA,0
13,2,58,5,NA,0
8,2,4,0,NA,NA
13,2,24,11,600000,1
5,2,85,1,250000,0
8,2,53,2,NA,0
2,2,58,5,500000,0
13,2,11,0,NA,NA
5,2,60,7,96000,0
6,2,45,5,276000,0
13,2,9,1,NA,NA
10,2,15,4,NA,NA
8,2,50,1,NA,0
8,2,39,3,235000,0
13,2,74,2,300000,0
2,2,18,5,NA,NA
13,2,43,5,329667,0
8,2,6,1,NA,NA
6,2,42,8,NA,0
12,2,53,5,450000,0
8,2,56,3,260000,0
2,2,15,3,NA,NA
15,2,52,3,30000,0
9,2,9,1,NA,NA
4,2,18,3,NA,NA
15,2,15,2,NA,NA
7,2,19,1,NA,NA
2,2,69,8,100000,0
5,2,57,5,NA,0
3,2,77,3,NA,0
6,2,20,5,NA,NA
7,2,53,8,300000,0
13,2,21,7,440000,NA
1,2,1,0,NA,NA
13,2,3,0,NA,NA
10,2,57,2,140000,0
5,2,75,1,NA,0
8,2,40,6,NA,0
8,2,22,3,180000,NA
13,2,65,11,910000,1
13,2,55,5,64000,0
3,2,32,0,NA,0
9,2,74,1,33333,0
8,2,38,11,800000,1
10,2,60,0,NA,0
13,2,55,8,342500,0
13,2,40,11,805000,1
13,2,50,99,500000,NA
8,2,46,1,NA,0
13,2,37,5,200000,0
13,2,5,0,NA,NA
1,2,61,5,275000,0
13,2,55,5,450000,0
14,2,47,1,NA,0
16,2,17,3,NA,NA
16,2,54,1,170000,0
16,2,72,1,186000,0
8,2,41,5,450000,0
9,2,46,5,120000,0
6,2,41,11,1200000,1
6,2,52,5,NA,0
8,2,40,0,NA,0
8,2,72,1,110000,0
7,2,6,1,833,NA
4,2,6,0,NA,NA
13,2,16,3,NA,NA
2,2,17,5,NA,NA
13,2,29,7,432250,0
14,2,60,2,80000,0
12,2,67,2,NA,0
2,2,7,1,NA,NA
13,2,67,3,NA,0
15,2,61,1,8333,0
4,2,27,11,400000,1
8,2,17,3,NA,NA
14,2,17,3,NA,NA
9,2,44,5,NA,0
4,2,84,1,NA,0
5,2,27,5,383333,NA
15,2,8,1,26000,NA
13,2,70,2,180002,0
